"title","speaker","scripture","date","videoURL","audioURL"
"We Are Family","Evangelist Kenny Evans","Hebrews 10:25","2020-01-26T10:30:00","https://gwc-s3.s3.amazonaws.com/9315/8008/3212/01-26-2020.mp4","https://gwc-s3.s3.amazonaws.com/4615/8008/3204/01-26-2020.mp3"
"The Blood of Jesus Part 2 - The Blood is the Only Way","Pastor Walter Branch","Genesis 4:6-10","2020-01-19T10:30:00","https://gwc-s3.s3.amazonaws.com/8315/7947/8408/01-19-2020.mp4","https://gwc-s3.s3.amazonaws.com/4815/7947/8405/01-19-2020.mp3"
"""C"" Your Way Part 2 - Your Attitude Determines Your Altitude","Pastor Walter Branch","Matthew 5:1-9","2020-01-12T10:30:00","https://gwc-s3.s3.amazonaws.com/3215/7887/3608/01-12-2020.mp4","https://gwc-s3.s3.amazonaws.com/2515/7887/3604/01-12-2020.mp3"
"The Blood of Jesus Part 1 - The Life is in the Blood","Pastor Walter Branch","Leviticus 7:26-27","2020-01-08T19:00:00","https://gwc-s3.s3.amazonaws.com/3915/7857/4808/01-08-2020.mp4","https://gwc-s3.s3.amazonaws.com/2715/7857/4805/01-08-2020.mp3"
"""C"" Your Way","Pastor Walter Branch","Mark 8:22-25","2020-01-05T12:16:00","https://gwc-s3.s3.amazonaws.com/3215/7826/8807/01-05-2020.mp4","https://gwc-s3.s3.amazonaws.com/1115/7826/8803/01-05-2020.mp3"
"2020 Vision","Pastor Walter Branch","Deuteronomy 28:1-7","2019-12-29T10:30:00","https://gwc-s3.s3.amazonaws.com/3215/7766/4008/12-29-2019.mp4","https://gwc-s3.s3.amazonaws.com/8515/7766/4004/12-29-2019.mp3"
"Five Pointed Star","Pastor Walter Branch","Matthew 2:1-12","2019-12-22T10:30:00","https://gwc-s3.s3.amazonaws.com/6215/7705/9208/12-22-2019.mp4","https://gwc-s3.s3.amazonaws.com/5715/7705/9204/12-22-2019.mp3"
"Nothing is Impossible With God","Pastor Walter Branch","Luke 1:26-38","2019-12-15T10:30:00","https://gwc-s3.s3.amazonaws.com/9015/7645/4408/12-15-2019.mp4","https://gwc-s3.s3.amazonaws.com/4915/7645/4404/12-15-2019.mp3"
"Great Things Are Born Outside of the System","Pastor Walter Branch","Matthew 1:18-25","2019-12-08T10:30:00","https://gwc-s3.s3.amazonaws.com/5415/7584/9609/12-08-2019.mp4","https://gwc-s3.s3.amazonaws.com/7415/7584/9605/12-08-2019.mp3"
"What do YOu See in Front of You","Pastor Larry Queen","Mark 8:22-25","2019-12-01T10:30:00","https://gwc-s3.s3.amazonaws.com/1615/7524/4810/12-01-2019.mp4","https://gwc-s3.s3.amazonaws.com/2015/7524/4805/12-01-2019.mp3"
"Eye Has Not Seen Me Yet","Pastor Walter Branch","Ecclesiastes 3:1-8","2019-11-24T10:30:00","https://gwc-s3.s3.amazonaws.com/9615/7464/0009/11-24-2019.mp4","https://gwc-s3.s3.amazonaws.com/7615/7464/0005/11-24-2019.mp3"
